age,sex_id,region_id,expected_age
79,1,3,89.15931
79,1,4,89.1735
79,1,5,88.965384
80,1,1,89.645195
80,1,2,89.686076
80,1,3,89.677138
80,1,4,89.689072
80,1,5,89.474802
81,1,1,90.177539
81,1,2,90.215676
81,1,3,90.213736
81,1,4,90.219101
81,1,5,90.00057
82,1,1,90.725963
82,1,2,90.762851
82,1,3,90.762598
82,1,4,90.766149
82,1,5,90.540659
83,1,1,91.28964
83,1,2,91.325636
83,1,3,91.330132
83,1,4,91.329217
83,1,5,91.094171
84,1,1,91.870688
84,1,2,91.904531
84,1,3,91.910941
84,1,4,91.907333
84,1,5,91.663659
85,1,1,92.466887
85,1,2,92.498969
85,1,3,92.510397
85,1,4,92.502013
85,1,5,92.248276
86,1,1,93.079748
86,1,2,93.110561
86,1,3,93.127629
86,1,4,93.111075
86,1,5,92.845359
87,1,1,93.707969
87,1,2,93.738523
87,1,3,93.755187
87,1,4,93.737008
87,1,5,93.456151
88,1,1,94.352296
88,1,2,94.381938
88,1,3,94.403952
88,1,4,94.376783
88,1,5,94.089579
89,1,1,95.013651
89,1,2,95.042001
89,1,3,95.067527
89,1,4,95.03413
89,1,5,94.741334
90,1,1,95.687313
90,1,2,95.715483
90,1,3,95.749012
90,1,4,95.708869
90,1,5,95.404679
91,1,1,96.37008
91,1,2,96.396891
91,1,3,96.438885
91,1,4,96.389898
91,1,5,96.083593
92,1,1,97.061002
92,1,2,97.086349
92,1,3,97.134653
92,1,4,97.079138
92,1,5,96.775152
93,1,1,97.760479
93,1,2,97.784276
93,1,3,97.836925
93,1,4,97.776993
93,1,5,97.479307
94,1,1,98.468885
94,1,2,98.491065
94,1,3,98.546279
94,1,4,98.483841
94,1,5,98.195985
95,1,1,99.186569
95,1,2,99.20708
95,1,3,99.263265
95,1,4,99.200032
95,1,5,98.925091
96,1,1,99.913851
96,1,2,99.93266
96,1,3,99.988401
96,1,4,99.925889
96,1,5,99.666506
97,1,1,100.651023
97,1,2,100.668112
97,1,3,100.722173
97,1,4,100.661706
97,1,5,100.420091
98,1,1,101.398349
98,1,2,101.413718
98,1,3,101.465036
98,1,4,101.40775
98,1,5,101.185688
99,1,1,102.156068
99,1,2,102.169732
99,1,3,102.217416
99,1,4,102.164262
99,1,5,101.963126
100,1,1,102.924401
100,1,2,102.93639
100,1,3,102.979713
100,1,4,102.931463
100,1,5,102.752228
0,2,1,73.15357
